Item Classification,Item Type,Item ID,Item ID,SOP# or item shortname convention,Course Title (include Site),Revision Number,"Revision Date
(dd/mmm/yyyy)",Course Description,Domain,Assignment Type,"Approval Date 
(dd/mmm/yyyy)",Item Category,Item Sub-type,Version,Initial Number,Initial Period,Initial Basis,Content Item Link,Content Item ID,Status Check - AB,
Online,eLearning (ELEARN),LSG-BED-FACC-LI-0003,LSG-BED-FACC-LI-0003,FACC-LI-0003,CHM Relief Collection  (Chelmsford MA Sites),A,3-Apr-23,LI Facilities - Overview of the Chelmsford 220 Mill Rd relief collection system.,BED,Required (REQ),4/3/2023,LSG (LSG),eLearning,A,28,Days,Event,CHM Relief Collection System.pptx,LSG-BED-FACC-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-FACC-LI-0004,LSG-BED-FACC-LI-0004,FACC-LI-0004,CHM Vent Condenser System  (Chelmsford MA Sites),A,2-Jan-24,LI Facilities - Overview of the 220 Mill Rd Chelmsford site vent condenser system,BED,Required (REQ),1/2/2024,LSG (LSG),eLearning,A,28,Days,Event,220 Mill Road Vent Condenser Learn-It.pptx,LSG-BED-FACC-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0001,LSG-BED-MNT-LI-0001,MNT-LI-0001,Calibration System Overview (Bedford and Chelmsford MA Sites),A,13-Nov-19,LI Maintenance - A basic Learn It Test For Calibration System Overview,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Calibration System Overview.pptx,LSG-BED-MNT-LI-0001-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0002,LSG-BED-MNT-LI-0002,MNT-LI-0002,Caliper Training (Bedford and Chelmsford MA Sites),A,13-Nov-19,LI Maintenance - A basic Learn It Test For Caliper Training,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Caliper Training.pptx,LSG-BED-MNT-LI-0002-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0003,LSG-BED-MNT-LI-0003,MNT-LI-0003,Delta V User Review (Bedford and Chelmsford MA Sites),A,10-Nov-22,LI Maintenance - Training to cover how to generate the report for review and actions,BED,Required (REQ),11/10/2022,LSG (LSG),eLearning,A,28,Days,Event,DV User Review Training.pptx,LSG-BED-MNT-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0004,LSG-BED-MNT-LI-0004,MNT-LI-0004,DeltaV Change Control Process (Bedford and Chelmsford MA Sites),A,3-Aug-20,LI Maintenance - A basic Learn It Test For DeltaV Change Control Process,BED,Required (REQ),8/3/2020,LSG (LSG),eLearning,A,28,Days,Event,Overview of DVCC Process.pptx,LSG-BED-MNT-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0005,LSG-BED-MNT-LI-0005,MNT-LI-0005,LEL Meter Verification (Bedford and Chelmsford MA Sites),A,7-Jun-24,LI Maintenance - Verification of proper function and accuracy of RKI Eagle LEL Meter,BED,Required (REQ),6/7/2024,LSG (LSG),eLearning,A,28,Days,Event,LEL-Meter-Verification-Procedure.pptx,LSG-BED-MNT-LI-0005-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0006,LSG-BED-MNT-LI-0006,MNT-LI-0006,Maintenance - O2 Sensor Verification (Bedford and Chelmsford MA Sites),A,13-Nov-19,LI Maintenance - A basic Learn It for O2 sensor verification process,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,O2 sensor verification procedure.docx,LSG-BED-MNT-LI-0006-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0007,LSG-BED-MNT-LI-0007,MNT-LI-0007,Maintenance Request Form Submission (Bedford and Chelmsford MA Sites),A,13-Nov-19,LI Maintenance - Overview of how to properly fill out and submit a work order request,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Properly filling out a maintenance request form (.pptx,LSG-BED-MNT-LI-0007-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0008,LSG-BED-MNT-LI-0008,MNT-LI-0008,Nutsche Screen Install (Bedford and Chelmsford MA Sites),B,24-Oct-22,LI Maintenance - Proper installation of screen hardware,BED,Required (REQ),10/24/2022,LSG (LSG),eLearning,B,28,Days,Event,Installation of Nutsche screen hardware.pptx,LSG-BED-MNT-LI-0008-C01,,
Online,eLearning (ELEARN),LSG-BED-MNTB-LI-0004,LSG-BED-MNTB-LI-0004,MNTB-LI-0004,Penthouse Leak Containment Berm (Bedford MA Sites),A,14-Feb-20,LI Maintenance - Training covers importance and use of penthouse leak containment berm at 2 Preston Court.,BED,Required (REQ),2/14/2020,LSG (LSG),eLearning,A,28,Days,Event,2 Preston penthouse leak containment berm.pptx,LSG-BED-MNTB-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0009,LSG-BED-MNT-LI-0009,MNT-LI-0009,Pony Chiller (Bedford and Chelmsford MA Sites),A,3-Aug-20,LI Maintenance - This training will walk through a high level overview of how to work through all the necessary pages that can be found on the pony chiller PLC,BED,Required (REQ),8/3/2020,LSG (LSG),eLearning,A,28,Days,Event,Pony Chiller Learn-it slides.pptx,LSG-BED-MNT-LI-0009-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0010,LSG-BED-MNT-LI-0010,MNT-LI-0010,Powerflex 40 Frequency Drive Parameter Programming (Bedford and Chelmsford MA Sites),A,6-Aug-21,LI Maintenance - Training covers maintenance VFD programming,BED,Required (REQ),8/6/2021,LSG (LSG),eLearning,A,28,Days,Event,Maintenance VFD Programming Training.pptx,LSG-BED-MNT-LI-0010-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0011,LSG-BED-MNT-LI-0011,MNT-LI-0011,Proper Operation of Drymate Couplings (Bedford and Chelmsford MA Sites),A,18-Aug-21,LI Maintenance - This training reviews the proper operation and maintenance of Banjo Brand Drymate couplings.,BED,Required (REQ),8/18/2021,LSG (LSG),eLearning,A,28,Days,Event,Proper Operation of Drymate Couplings.pptx,LSG-BED-MNT-LI-0011-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0012,LSG-BED-MNT-LI-0012,MNT-LI-0012,Rotovap Mainboard Install (Bedford and Chelmsford MA Sites),A,13-Nov-19,LI Maintenance - A basic Learn It Test For Rotovap Mainboard Install,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Installation of controller board � R220 (Rotovapor.pptx,LSG-BED-MNT-LI-0012-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0013,LSG-BED-MNT-LI-0013,MNT-LI-0013,RTD Verification (Bedford and Chelmsford MA Sites),A,1-Feb-24,LI Maintenance - Full understanding of how to verify the RTD probes are working properly.,BED,Required (REQ),2/1/2024,LSG (LSG),eLearning,A,28,Days,Event,RTD Verification procedure.pptx,LSG-BED-MNT-LI-0013-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0014,LSG-BED-MNT-LI-0014,MNT-LI-0014,Sonication Installation Procedure (Bedford and Chelmsford MA Sites),A,14-Feb-20,LI Maintenance - A basic Learn It Test For Sonication Installation Procedure,BED,Required (REQ),2/14/2020,LSG (LSG),eLearning,A,28,Days,Event,How to Install a new sonicator.pptx,LSG-BED-MNT-LI-0014-C01,,
Online,eLearning (ELEARN),LSG-BED-MNTC-LI-0001,LSG-BED-MNTC-LI-0001,MNTC-LI-0001,CHM Maintenance Interlock and Permissive (Chelmsford MA Site),A,11-Mar-24,"LI Maintenance - Overview of Delta V interlocks, bypass log and permissives for maintenance reference in Chelmsford.",BED,Required (REQ),3/11/2024,LSG (LSG),eLearning,A,28,Days,Event,CHM Maint ILK and PRM Training.pptx,LSG-BED-MNTC-LI-0001-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0015,LSG-BED-MNT-LI-0015,MNT-LI-0015,Strahman Slurry Valve Maintenance (Pfaudler) (Bedford and Chelmsford MA Sites),A,3-Jan-24,"LI Maintenance - Guidance for cleaning, rebuilding and reinstalling of Strahman slurry valves on Pfaudler Nutsches.",BED,Required (REQ),1/3/2024,LSG (LSG),eLearning,A,28,Days,Event,Strahman Slurry Valves - Pfauldler Nutsches.pptx,LSG-BED-MNT-LI-0015-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0016,LSG-BED-MNT-LI-0016,MNT-LI-0016,TREX Communicator Trim Calibration (Bedford and Chelmsford MA Sites),A,1-Feb-24,LI Maintenance - A full understanding of how to calibrate RTD probes with the Trex Communicator,BED,Required (REQ),2/1/2024,LSG (LSG),eLearning,A,28,Days,Event,TREX Temp Calibration.pptx,LSG-BED-MNT-LI-0016-C01,,
Online,eLearning (ELEARN),LSG-BED-MNT-LI-0017,LSG-BED-MNT-LI-0017,MNT-LI-0017,Strahman Slurry Valve Maintenance (Steri) (Bedford and Chelmsford MA Sites),A,3-Jan-24,"LI Maintenance - Guidance for cleaning, rebuilding and reinstalling of Strahman slurry valves on Steri Nutsches.",BED,Required (REQ),1/3/2024,LSG (LSG),eLearning,A,28,Days,Event,https://thermofisher.sharepoint.com/:p:/s/learn-it-bedford/EZt3GQDowMBCntpNbhUva4QB6ef90e1xhmDRkkK6FHnnRg?e=9Agbgu,LSG-BED-MNT-LI-0017-C01,,
Online,eLearning (ELEARN),LSG-BED-MNTB-LI-0001,LSG-BED-MNTB-LI-0001,MNTB-LI-0001,Waste Water Acid Addition (Bedford MA Sites),A,15-Nov-19,LI Maintenance - Covers the 2 Preston Court Sulfuric Acid addition process for waste water management,BED,Required (REQ),11/15/2019,LSG (LSG),eLearning,A,28,Days,Event,SULFURIC ACID ADDITION SLIDES.pptx,LSG-BED-MNTB-LI-0001-C01,,
Online,eLearning (ELEARN),LSG-BED-MNTB-LI-0002,LSG-BED-MNTB-LI-0002,MNTB-LI-0002,Waste Water pH Probe Calibration (Bedford MA Sites),A,13-Nov-19,LI Maintenance - Training covers the 2 Preston Court waste water probe calibration procedure.,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Waste water PH probe Calibration procedure.docx,LSG-BED-MNTB-LI-0002-C01,,
Online,eLearning (ELEARN),LSG-BED-MSE-LI-0002,LSG-BED-MSE-LI-0002,MSE-LI-0002,Cleaning Validation (Bedford and Chelmsford MA Sites),A,11-Nov-22,"LI Maintenance - Training to cover aseptic sampling of RODI water from various pieces of manufacturing equipment, Gowning Requirements, sampling technique, location of consumables, instructions on how to store and ship samples",BED,Required (REQ),11/11/2022,LSG (LSG),eLearning,A,28,Days,Event,MSE Cleaning Validation Learn It.pptx,LSG-BED-MSE-LI-0002-C01,,
Online,eLearning (ELEARN),LSG-BED-MSE-LI-0003,LSG-BED-MSE-LI-0003,MSE-LI-0003,Digital Heating Shaking Drybath (Bedford and Chelmsford MA Sites),A,10-Jun-24,LI MSE - How to use digital heating shaking drybath for organic extractions and epoxide density tests.,BED,Required (REQ),6/10/2024,LSG (LSG),eLearning,A,28,Days,Event,2 links,,,
Online,eLearning (ELEARN),LSG-BED-MSE-LI-0004,LSG-BED-MSE-LI-0004,MSE-LI-0004,IQOQ Standard Work (Bedford and Chelmsford MA Sites),A,12-May-22,"LI MSE - Tips for Spare parts, PMs and Calibration",BED,Required (REQ),5/12/2022,LSG (LSG),eLearning,A,28,Days,Event,IQOQ Standard Work Tips.pptx,LSG-BED-MSE-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-MSE-LI-0005,LSG-BED-MSE-LI-0005,MSE-LI-0005,MSE - Process Change Validation (Bedford and Chelmsford MA Sites),A,13-Nov-19,"LI MSE - To establish a standard practice for initiating and completing validation of process changes
This training content does not apply to New Product Introductions, Process Scale Ups or Custom Products
Reference other training content:
NPI
Scale Up
Customs",BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Process Change Validation Learn It.ppt,LSG-BED-MSE-LI-0005-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0003,LSG-BED-PILO-LI-0003,PILO-LI-0003,Oligo dT150 10 L Scale (Moderna) (Bedford MA Site),A,14-Nov-19,LI Pilot Plant - Overview of bench scale Oligo dT150 production.,BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,Oligo dT150 10 L Processing (Moderna).pptx,LSG-BED-PILO-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0004,LSG-BED-PILO-LI-0004,PILO-LI-0004,Oligo dT450 10 L Processing (Moderna) (Bedford MA Site),A,14-Nov-19,LI Pilot Plant - Training for Oligo dT450 10 L Processing (Moderna) (Intermediate),BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,Oligo dT450 10 L Processing (Moderna).pptx,LSG-BED-PILO-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0005,LSG-BED-PILO-LI-0005,PILO-LI-0005,Pilot Plant - BPG Glass Column Training (Bedford MA Site),A,15-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - BPG Glass Column Training,BED,Required (REQ),11/15/2019,LSG (LSG),eLearning,A,28,Days,Event,BPG Glass column training deck.pptx,LSG-BED-PILO-LI-0005-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0006,LSG-BED-PILO-LI-0006,PILO-LI-0006,Pilot Plant - Secondary Verification(Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - Secondary Verification,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Pilot Plant secondary verification.pptx,LSG-BED-PILO-LI-0006-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0007,LSG-BED-PILO-LI-0007,PILO-LI-0007,Pilot Plant - XQ Elutriation (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - XQ Elutriation,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,PP XQ Elutriation Training Deck.pptx,LSG-BED-PILO-LI-0007-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0008,LSG-BED-PILO-LI-0008,PILO-LI-0008,Pilot Plant - XQ Grafting (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - XQ Grafting,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,PP XQ Grafting Training Deck.pptx,LSG-BED-PILO-LI-0008-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0009,LSG-BED-PILO-LI-0009,PILO-LI-0009,Pilot Plant - XQ Stripping (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - XQ Stripping,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,PP XQ Stripping Training Deck.pptx,LSG-BED-PILO-LI-0009-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0010,LSG-BED-PILO-LI-0010,PILO-LI-0010,Pilot Plant - XQ Washing (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant - XQ Washing,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,PP XQ Washing Training Deck.pptx,LSG-BED-PILO-LI-0010-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0011,LSG-BED-PILO-LI-0011,PILO-LI-0011,Pilot Plant Elutriation (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - A basic Learn It Test For Pilot Plant Elutriation,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Pilot Plant Elutriation Operation.ppt,LSG-BED-PILO-LI-0011-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0012,LSG-BED-PILO-LI-0012,PILO-LI-0012,Pilot Plant LO/TO (Bedford MA Site),A,14-Nov-19,"LI Pilot Plant - training to cover General information
Basic Safety 
Definitions
Best Practices
Reference Documents",BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,Lock out Tag Out Pilot Plant.pptx,LSG-BED-PILO-LI-0012-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0013,LSG-BED-PILO-LI-0013,PILO-LI-0013,Pilot Plant Waste Streams (Bedford MA Site),A,13-Nov-19,LI Pilot Plant - Overview of how waste is handled in the Pilot Plant.,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Pilot Plant Waste Systems.pptx,LSG-BED-PILO-LI-0013-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0014,LSG-BED-PILO-LI-0014,PILO-LI-0014,Polishing (Bedford MA Site),A,13-Nov-19,"LI Pilot Plant - Training covers:
Basic Safety and Best Practices
Reference Documents
Equipment 
Materials 
Setting up TK-100-01 for Polishing
Transferring to TK-100-01
Polishing in TK-100-01
Cleaning Verification
Process Overview  ",BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Polishing.pptx,LSG-BED-PILO-LI-0014-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0015,LSG-BED-PILO-LI-0015,PILO-LI-0015,V-7020 Operation (Bedford MA Site),A,14-Nov-19,"LI Pilot Plant - Training covers:
General information
Basic Safety and Best Practices
Reference Documents
Set up
Cleaning
Base washing",BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,V-7020 30 Gal Glass Vessel training deck.pptx,LSG-BED-PILO-LI-0015-C01,,
Online,eLearning (ELEARN),LSG-BED-PILO-LI-0016,LSG-BED-PILO-LI-0016,PILO-LI-0016,V-7050 operation and cleaning (Bedford MA Site),A,13-Nov-19,"LI Pilot Plant - Training covers use, setup, safety percautions, and cleaning standard.",BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,V-7050 LearnIt.pptx,LSG-BED-PILO-LI-0016-C01,,
Online,eLearning (ELEARN),LSG-BED-AFNY-LI-0003,LSG-BED-AFNY-LI-0003,AFNY-LI-0003,ODT150 300L (Bedford MA Site),A,18-Oct-22,"LI Affinity - Training covers process overview & safety, material staging, equipment set-up, buffer prep, reaction start, coupling rxn, blocking rxn, transfer to cone and discharge.",BED,Required (REQ),10/18/2022,LSG (LSG),eLearning,A,28,Days,Event,ODT150 300L Learn-It.pptx,LSG-BED-AFNY-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-AFNY-LI-0004,LSG-BED-AFNY-LI-0004,AFNY-LI-0004,ODT25 150L (Bedford MA Site),A,18-Oct-22,"LI Affinity - Training covers process overview & safety, material staging, equipment set-up, buffer prep, reaction start, coupling rxn, blocking rxn, transfer to cone and discharge.",BED,Required (REQ),10/18/2022,LSG (LSG),eLearning,A,28,Days,Event,ODT25 150L Learn-It.pptx,LSG-BED-AFNY-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-AFNY-LI-0005,LSG-BED-AFNY-LI-0005,AFNY-LI-0005,AAVX 14L Processing (Bedford and Chelmsford MA Sites),A,5-Dec-17,"LI Affinity - Training covers process overview & safety, material staging, equipment set-up, buffer prep, reaction start, coupling rxn, blocking rxn, transfer to cone and discharge.",BED,Required (REQ),12/5/2017,LSG (LSG),eLearning,A,28,Days,Event,AAVX 14 L Processing.pptx,LSG-BED-AFNY-LI-0005-C01,,
Online,eLearning (ELEARN),LSG-BED-AFNY-LI-0006,LSG-BED-AFNY-LI-0006,AFNY-LI-0006,Elutriation Recirculation Skid (ERS) Operation & Cleaning  (Bedford and Chelmsford MA Sites),A,8-Aug-25,"LI Affinity -  Training covers how to operate and clean the Elutriation Recirculation Skid in Bedford, MA.",BED,Required (REQ),8/8/2025,LSG (LSG),eLearning,A,28,Days,Event,ERS Operation and Cleaning Learn It.pptx,LSG-BED-AFNY-LI-0006-C01,,
Online,eLearning (ELEARN),LSG-BED-RD-LI-0001,LSG-BED-RD-LI-0001,RD-LI-0001,Intro to R Chemistry (Bedford MA Site),A,22-Dec-20,LI R&D - Presentation and information provided by POROS R&D group for the R bead chemistry.,BED,Required (REQ),12/22/2020,LSG (LSG),eLearning,A,28,Days,Event,3 links,,,
Online,eLearning (ELEARN),LSG-BED-RD-LI-0002,LSG-BED-RD-LI-0002,RD-LI-0002,Purification Product Overview (Bedford MA Site),A,16-Feb-21,LI R&D - Covers purification process and POROS products,BED,Required (REQ),2/16/2021,LSG (LSG),eLearning,A,28,Days,Event,BioProduction Purification R&D New Hire Orientation to products training.pptx,LSG-BED-RD-LI-0002-C01,,
Online,eLearning (ELEARN),LSG-BED-RD-LI-0003,LSG-BED-RD-LI-0003,RD-LI-0003,R&D Useful Links (Bedford MA Site),A,9-Feb-21,LI R&D - List of links that will provide some guidance during onboarding,BED,Required (REQ),2/9/2021,LSG (LSG),eLearning,A,28,Days,Event,R&D_Onboarding_UsefulLinks.pptx,LSG-BED-RD-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-PPI-LI-0001,LSG-BED-PPI-LI-0001,PPI-LI-0001,Leader Standard Work (PPI) (Bedford and Chelmsford MA Site),C,27-Oct-21,"LI PPI - This training role will provide you with an overview of Leader Standard Work, an element of Lean Leadership. Leader Standard Work ensures that leaders engage in the right activities to enable sustainability of all of the other elements of the PPI Business System.",BED,Required (REQ),10/27/2021,LSG (LSG),eLearning,C,28,Days,Event,2 links,,,
Online,eLearning (ELEARN),LSG-BED-PPI-LI-0002,LSG-BED-PPI-LI-0002,PPI-LI-0002,Meeting Management (Bedford and Chelmsford MA Site),B,13-Jul-21,LI PPI - Provide material that will help people run effective meetings.,BED,Required (REQ),7/13/2021,LSG (LSG),eLearning,B,28,Days,Event,4 links,,,
Online,eLearning (ELEARN),LSG-BED-PPI-LI-0003,LSG-BED-PPI-LI-0003,PPI-LI-0003,PPI Idea Process Flow (Bedford and Chelmsford MA Site),F,25-Jan-23,LI PPI - Covers Rever idea funnel and process,BED,Required (REQ),1/25/2023,LSG (LSG),eLearning,F,28,Days,Event,2 links,,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0001,LSG-BED-QC-LI-0001,QC-LI-0001,Ceric Sulfate Solubility (Bedford and Chelmsford MA Site),A,8-Jun-20,"LI QC - Training covers steps to complete ceric sulfate solubility testing, drying filter funnels, and clean up requirements.",BED,Required (REQ),6/8/2020,LSG (LSG),eLearning,A,28,Days,Event,Chemistry Lab 1 Cleaning.pptx,LSG-BED-QC-LI-0001-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0002,LSG-BED-QC-LI-0002,QC-LI-0002,Finished Good Inspection Defect Categories (Bedford and Chelmsford MA Site),A,16-Feb-22,LI QC - Describes what is defined as Minor or Major defect.,BED,Required (REQ),2/16/2022,LSG (LSG),eLearning,A,28,Days,Event,Finished good inspections.pptx,LSG-BED-QC-LI-0002-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0003,LSG-BED-QC-LI-0003,QC-LI-0003,HS250 Column Packing (Bedford and Chelmsford MA Site),A,5-Jan-21,LI QC - This training consists of a video demonstration of HS250 column packing using peek columns.,BED,Required (REQ),1/5/2021,LSG (LSG),eLearning,A,28,Days,Event,HS250 column packing.pptx,LSG-BED-QC-LI-0003-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0004,LSG-BED-QC-LI-0004,QC-LI-0004,Introduction to HPLC Instruments (Bedford and Chelmsford MA Site),A,1-Apr-22,LI QC - Overiview of the HPLC instruments used by QC,BED,Required (REQ),4/1/2022,LSG (LSG),eLearning,A,28,Days,Event,Introduction to HPLC Instruments.pptx,LSG-BED-QC-LI-0004-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0005,LSG-BED-QC-LI-0005,QC-LI-0005,Laser Safety (Bedford and Chelmsford MA Site),A,13-Nov-19,LI QC -  A basic Learn It Test For Laser Safety,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Laser Safety Awareness Training.pptx,LSG-BED-QC-LI-0005-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0006,LSG-BED-QC-LI-0006,QC-LI-0006,MEHQ by HPLC Analysis (Bedford and Chelmsford MA Site),AO - per Jim Jan2026,13-Nov-19,LI QC -  To ensure understanding of the key points of MEHQ analysis,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,AO - per Jim Jan2026,28,Days,Event,MEHQ by HPLC analysis.pptx,LSG-BED-QC-LI-0006-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0007,LSG-BED-QC-LI-0007,QC-LI-0007,Multisizer 4e: Critical Analysis/Review Steps (Bedford and Chelmsford MA Site),A,27-Oct-22,"LI QC - Covers setup, adding sample, basic troubleshooting, and report review",BED,Required (REQ),10/27/2022,LSG (LSG),eLearning,A,28,Days,Event,https://thermofisher.sharepoint.com/:p:/s/learn-it-bedford/EYg2E9umuWlKgxLD8GgJ4CQBi9LzM6nDiUtvTurbJhMwpQ?e=VSLpTD,LSG-BED-QC-LI-0007-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0008,LSG-BED-QC-LI-0008,QC-LI-0008,POROS 100ml PSF and Percent Solids Test (Bedford and Chelmsford MA Site),B,22-Aug-24,LI QC - Training covers quantifying the level of small particles (fines) in POROS 50 micron chromatographic media as well as providing information to Manufacturing personnel to adjust liquid levels of batch during elutriation,BED,Required (REQ),8/22/2024,LSG (LSG),eLearning,B,28,Days,Event,100 mL PSF and Percent Solids Learn-It.pptx,LSG-BED-QC-LI-0008-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0009,LSG-BED-QC-LI-0009,QC-LI-0009,QC - 35W Finals Process Tips (Bedford and Chelmsford MA Site),A,14-Nov-19,LI QC - A basic Learn It Test For QC - 35W Finals Process Tips,BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,35W Finals Process Tips.pptx,LSG-BED-QC-LI-0009-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0010,LSG-BED-QC-LI-0010,QC-LI-0010,QC - Concentration by RI (Bedford and Chelmsford MA Site),A,13-Nov-19,LI QC - Overiview of how to run the refractive index instrument,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Concentration by RI.ppt,LSG-BED-QC-LI-0010-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0011,LSG-BED-QC-LI-0011,QC-LI-0011,QC - FT-IR Analysis  (Bedford and Chelmsford MA Site),A,14-Nov-19,LI QC - A basic Learn It Test For QC - FT-IR Analysis,BED,Required (REQ),11/14/2019,LSG (LSG),eLearning,A,28,Days,Event,FTIR.pptx,LSG-BED-QC-LI-0011-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0012,LSG-BED-QC-LI-0012,QC-LI-0012, QC - Isotone Filtration Instructions(Bedford and Chelmsford MA Site),A,3-Mar-21,LI QC - For use during POROS Coulter Particle Size testing.,BED,Required (REQ),3/3/2021,LSG (LSG),eLearning,A,28,Days,Event,Isotone Filtration Instructions.pptx,LSG-BED-QC-LI-0012-C01,,
Online,eLearning (ELEARN),LSG-BED-QC-LI-0013,LSG-BED-QC-LI-0013,QC-LI-0013,QC - Karl Fischer Guidelines (Bedford and Chelmsford MA Site),A,13-Nov-19,LI QC - A basic Learn It Test For QC - Karl Fischer Guidelines,BED,Required (REQ),11/13/2019,LSG (LSG),eLearning,A,28,Days,Event,Karl Fischer Guidelines updated with troubleshooting tips and questions.pptx,LSG-BED-QC-LI-0013-C01,,
